File Name,NNH Cost,NNH (TwoOpt),NNH (NodeSwap),NNH (NodeShift),CIH Cost,CIH (TwoOpt),CIH (NodeSwap),CIH (NodeShift),RIH Cost,RIH (TwoOpt),RIH (NodeSwap),RIH (NodeShift), Semi-GreedyCIH(3),Semi-GreedyCIH(4),Semi-GreedyCIH(5)
a280.tsp,3148.109934934404,2793.714751274733,3100.492117676489,2904.999095570739,3086.8478804633864,2927.468611655724,2982.551679381632,2866.13222733852,34287.08448019248,3155.1382918419563,6982.494715566428,4355.469011662659,4553.94389538794,4975.970128214245,5672.6154171532935
berlin52.tsp,8980.918279329191,8384.187161856415,8797.919648417057,8550.504530170754,7885.519734134286,7885.428009064317,7885.428009064317,7782.984436148983,29343.286679744346,9019.75603472355,11752.329158741752,10220.018168064658,11679.928496068043,12913.704146461581,13218.500406410754
bier127.tsp,135751.77804825202,126605.2285005519,129644.10793651134,125704.57124461274,132500.8085627829,128765.43048508311,130803.68755327028,128458.39632122444,647523.626450597,131696.0624448065,206720.12902270863,155305.2014521884,176632.13939721737,195794.9492398398,208403.8455861679
ch130.tsp,7575.286291798959,7025.873688389525,7404.228395721582,7102.645792670792,6495.445594327559,6417.231902710335,6458.061949152858,6379.569292704815,45396.463737358994,6903.580994058944,12992.349604179622,8609.274302694783,9317.652934459435,10910.689194112156,12138.889768015266
ch150.tsp,8194.614331512179,7194.0958944289905,8119.931588311936,7633.826234410506,7145.029708646425,7076.621775467557,7089.53414289061,6893.1260919933775,55464.24397370301,7599.42530167487,14928.239423963172,9670.319812353482,10590.442681300241,12091.870636587399,12695.884804438216
eil51.tsp,513.610006884723,465.90940666737396,507.8182691872435,488.4935142924254,465.4106411673056,461.8954399708497,461.8954399708497,448.1489405485435,1609.97649614585,480.62788271495367,601.4601781374621,494.9639916147707,599.0874496470913,669.890002793776,771.9620645733289
eil76.tsp,711.993292632752,620.0300674437826,690.6661255960437,637.7975946497104,609.0098701700822,593.0088099260086,599.573034310481,579.4039224686271,2531.8919137817106,600.583251236243,819.2086432455369,687.0656468456586,742.8376917367325,896.7602263051145,968.6591301212617
eil101.tsp,825.2423227277445,707.5226887936502,792.7105478766105,732.4398961568315,713.8966043181972,707.9382584219165,707.9382584219165,668.5827598475709,3361.0091123362613,735.913029094595,950.2683800484655,773.9654447838758,911.223769884726,1005.3005908845671,1107.0296788399728
kroA100.tsp,26856.388591241608,23641.415715623163,24874.657318004723,24039.70414407053,22397.655144255437,21670.141093019385,22008.12580601442,21622.374467573198,165294.26779553783,24929.66842113873,46415.16744932633,37676.73125917212,34032.731384094506,39066.37662677904,42574.90988763923
kroB100.tsp,29155.04370371318,24985.199404529394,28594.1854217017,26369.506666074478,24629.404612588132,23690.20245241972,24403.20069736699,23748.901777213174,182229.99447390425,27355.399502077453,41904.748635929034,35061.70498425214,36351.17097031081,41580.30020935337,42872.07953215258
kroC100.tsp,26327.36210986594,23665.63331511927,25852.756054358546,24572.729509930683,21766.8820910631,21624.032971133394,21706.3758924857,21685.469664341865,164261.00878940267,25370.513265310918,42121.88424556682,30889.685609400356,33308.98815959162,41024.884082700766,44650.31431405322
kroD100.tsp,26950.46122270427,24727.06297532819,26580.809787268638,25875.89452938317,23398.118806519848,22924.56483676778,23206.43941275551,22826.993254705038,165739.96593835065,24290.622303287495,41001.35503838798,33252.159824336755,35129.465052146465,38966.955425112516,42265.10618732518
kroE100.tsp,27587.187458190685,24216.039472121516,26512.99603033007,26053.31568338542,23792.544147234992,23523.736559348756,23523.736559348756,23250.70133780689,170757.7541500294,23960.36237378199,45178.996495369836,31400.418431076214,34526.333466970005,42245.16282426283,43319.012214169765
lin105.tsp,20362.75741726528,18538.411334245622,19683.316121325177,19010.282154130597,18102.02656762245,16618.030337318356,17380.107479096954,16458.36356107759,132847.52243163003,16358.784309921903,39872.83967015276,19787.973652437347,25010.003296471546,27983.57798430564,33034.02838723798
lin318.tsp,54033.576773283414,49639.36212112032,53268.978499765704,50812.155343428334,50710.82582292335,46623.11938689062,48825.481848736155,47083.315710151845,592429.5177767123,47068.64231870249,126842.80996576506,77951.94364817477,74610.93474636317,88137.76190684958,94459.1182804598
pr76.tsp,153461.92250215414,126349.88500906662,150417.50048193787,139991.162843704,128997.99650255,115839.48254984675,118995.32234236972,113332.2343958915,534000.0583530858,117155.84669845138,197730.1648200677,133944.10025664396,167708.16945340604,191869.75006063204,224894.8576069324
pr124.tsp,69299.42521616325,61910.45560406828,67429.35283339242,66624.76527279078,67162.6621307914,63177.29707022442,64675.74104931552,62721.94910124509,666837.2581082905,61930.01266642915,166630.5875064384,91412.0239583102,104059.74642798609,124651.53448793261,135013.49013632117
pr144.tsp,61650.71979547381,61399.206498307976,61419.91924087571,61166.32784103729,84935.79267755948,61434.91477385329,83648.45649145139,75891.83866712969,865023.8403143651,65576.67503445783,195509.00639123266,107039.56115319137,119591.75134721174,142174.53643250142,160614.41134687027
rat99.tsp,1564.724855363279,1378.4411731000991,1476.200593322248,1418.6906992046625,1601.8151398003845,1350.7106634398024,1520.7267883837426,1374.7326293737108,8135.955799960936,1398.1998903640354,2518.780270037394,1647.2241317201078,1935.0896047322904,2214.1682060421235,2565.2778620736926
rat195.tsp,2761.9573600471717,2499.6061892486837,2731.259060311286,2570.7014078720613,3079.4988830128304,2675.9485556464947,2861.78059215506,2604.2796740306667,21599.837035165063,2604.3827520117434,5414.848915484202,3292.827372577558,3795.028298926812,4313.082206887941,4794.768890616145
st70.tsp,805.5312008437772,751.2734679305147,776.2793299458857,772.9580088860796,711.4245593899192,700.1644718723364,700.1644718723364,696.4075473458431,3747.7642532867417,758.5479124802614,1030.3343831935083,880.6747132228625,1036.9354220489925,1149.9770118341116,1301.9297482399706
